salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target
20000.0,10000.0,25.0,3.0,13.0,0.0,0.0,13.0,117647.25227672239,1.0
123532.80157711696,0.0,59.0,0.0,14.0,4.0,0.0,21.0,70157.8134801322,0.0
22283.57368494444,27839.376667499193,68.0,4.0,15.0,1.0,0.0,3.0,402571.2814539274,1.0
57610.885652405195,75000.0,42.0,3.0,18.0,8.0,100000.0,18.0,0.0,0.0
41205.891086436175,23198.63577729716,58.0,3.0,12.0,5.0,0.0,6.0,78517.83713398839,1.0
66216.15503516166,75000.0,22.0,4.0,5.0,0.0,900000.0,9.0,155678.00696213573,0.0
20000.0,18676.033850242104,55.0,4.0,2.0,5.0,0.0,7.0,203361.22342631014,1.0
104916.15965520598,0.0,53.0,3.0,16.0,5.0,0.0,10.0,225425.87499652317,0.0
56920.47465755745,22840.7564705674,80.0,4.0,6.0,3.0,0.0,22.0,500000.0,1.0
60723.35002973434,10000.0,40.0,4.0,10.0,8.0,100000.0,1.0,224957.58428604872,0.0
45545.56347310231,10000.0,20.0,4.0,8.0,0.0,0.0,17.0,500000.0,1.0
89729.66440065061,0.0,34.0,4.0,14.0,8.0,100000.0,3.0,389009.39591303247,0.0
43925.48779159147,18197.739487174425,27.0,4.0,12.0,2.0,0.0,15.0,189974.17913460953,1.0
41778.71524674385,51314.821771223586,27.0,4.0,0.0,1.0,800000.0,15.0,196712.11431112993,0.0
30312.7011322437,11830.280643745375,55.0,4.0,13.0,4.0,500000.0,12.0,305429.67106338806,1.0
59847.97521012637,15886.58162229383,62.0,1.0,0.0,2.0,0.0,19.0,479407.9968435183,0.0
20000.0,10000.0,61.0,4.0,12.0,0.0,0.0,17.0,270616.3524633664,1.0
45342.04590690367,67826.86807436486,32.0,1.0,7.0,2.0,700000.0,18.0,413751.6290068607,0.0
35317.19315708526,19235.344717405675,40.0,4.0,5.0,0.0,0.0,3.0,461170.67522207473,1.0
75661.95090821857,0.0,78.0,3.0,1.0,8.0,100000.0,5.0,500000.0,0.0
25994.068530554214,17802.978770241454,27.0,4.0,14.0,7.0,0.0,5.0,26978.812894161118,1.0
86879.36958383911,0.0,29.0,3.0,19.0,3.0,600000.0,27.0,438698.9764910648,0.0
56819.873835719394,12846.647389605407,68.0,4.0,3.0,3.0,0.0,3.0,0.0,1.0
36098.21209999973,31072.968690676185,65.0,2.0,17.0,6.0,0.0,1.0,258435.67935384714,0.0
20000.0,10000.0,35.0,4.0,14.0,8.0,100000.0,16.0,427404.3514120269,1.0
142602.65497083735,0.0,35.0,1.0,16.0,7.0,0.0,6.0,32509.216769019433,0.0
30953.262130698957,10000.0,80.0,4.0,9.0,8.0,100000.0,13.0,170814.27915580565,1.0
150000.0,0.0,33.0,1.0,8.0,7.0,0.0,30.0,125640.33527562265,0.0
20000.0,10000.0,56.0,3.0,15.0,6.0,300000.0,12.0,500000.0,1.0
55248.99203946759,69499.84524444782,25.0,3.0,7.0,4.0,0.0,14.0,361931.07410463056,0.0
35587.980045214324,10000.0,48.0,4.0,12.0,0.0,0.0,6.0,270737.26121175755,1.0
20000.0,39131.1301770106,59.0,0.0,6.0,0.0,900000.0,21.0,383720.69598008355,0.0
20000.0,10000.0,54.0,4.0,10.0,1.0,0.0,5.0,204237.53232370422,1.0
97093.85753858334,0.0,65.0,4.0,13.0,1.0,800000.0,6.0,407296.1491723935,0.0
20000.0,26063.980380955014,27.0,4.0,6.0,6.0,0.0,12.0,379975.63327639486,1.0
146099.61743624936,0.0,66.0,4.0,4.0,7.0,0.0,11.0,195582.1775708629,0.0
31485.99135823499,22241.18579251998,62.0,4.0,18.0,7.0,0.0,20.0,187822.08574351712,1.0
