salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target
82491.13963074457,0.0,49,2,5,2,0.0,30,367136.10591451946,1.0
33951.792240305105,58596.165884505914,33,1,1,0,0.0,11,397159.2554909024,0.0
104109.09359120349,0.0,34,2,0,1,800000.0,5,0.0,1.0
29530.160841957728,48373.63254980893,25,0,9,2,700000.0,3,291690.229486761,0.0
116373.38617173603,0.0,49,3,7,3,600000.0,11,23639.120009274964,1.0
41860.26909063701,50875.93855006018,29,1,0,2,0.0,16,301417.61096326134,0.0
114950.51794664664,0.0,42,3,15,4,0.0,27,500000.0,1.0
88343.83418094022,69635.18313234858,20,3,12,2,700000.0,13,500000.0,0.0
67225.79928188756,75000.0,41,4,7,0,900000.0,22,133046.78801857063,1.0
63032.23393600664,75000.0,32,2,11,4,500000.0,16,230350.55708246908,0.0
47925.46117950929,32827.492666346705,35,0,16,5,0.0,12,140468.96075749514,1.0
20000.0,19912.30463912824,20,1,6,4,0.0,30,76706.23537220541,0.0
50865.29898890622,58483.20195578181,62,3,3,8,0.0,26,342103.48416510446,1.0
94471.24148563841,0.0,74,1,5,6,300000.0,11,500000.0,0.0
138544.2452884927,0.0,48,0,5,2,700000.0,2,205114.43797540563,1.0
104966.66229323942,0.0,74,2,10,1,800000.0,5,307114.55003040424,0.0
139175.74486764002,0.0,44,1,12,4,500000.0,3,152034.96589241436,1.0
122683.29449248414,0.0,76,0,19,3,600000.0,23,104629.23003341045,0.0
34083.92202081546,26380.372345365853,65,2,8,0,0.0,27,425676.15511806076,1.0
54438.45160370881,0.0,79,4,4,0,0.0,9,354415.9324388579,0.0
100213.82731876938,0.0,53,2,7,7,200000.0,17,371811.79667343636,1.0
60443.195765281154,26352.783944649647,20,0,11,8,0.0,6,63423.30684715495,0.0
113985.49265305437,0.0,52,3,10,0,900000.0,23,410108.8157380222,1.0
113401.91158231383,0.0,48,0,18,8,0.0,25,500000.0,0.0
20000.0,33561.91324121685,66,1,9,7,200000.0,25,223359.85685704288,1.0
20000.0,53819.380136871725,30,4,16,3,600000.0,23,79888.70878652352,0.0
30351.190068689444,24669.47360806556,40,4,12,5,400000.0,17,308178.64312001725,1.0
58812.507486678114,74790.72765603043,56,4,6,1,0.0,29,431475.71979268483,0.0
50131.3964943939,13740.76821284655,49,2,12,0,900000.0,9,316070.8197598731,1.0
109259.16505516984,0.0,22,0,5,7,0.0,13,160766.96164704225,0.0
29470.312389440536,47422.57666432307,33,2,14,4,0.0,21,486894.1444310475,1.0
95497.59149986965,0.0,39,2,13,2,700000.0,29,352181.0675098047,0.0
47706.45539518772,75000.0,50,3,3,6,300000.0,25,82188.19325829486,1.0
150000.0,0.0,55,2,0,2,0.0,1,110715.19632556738,0.0
62783.563831560576,75000.0,43,0,18,8,0.0,18,440140.5920098984,1.0
53504.15752840803,61235.08609245417,32,4,11,0,900000.0,14,329054.78747774457,0.0
63305.53036761911,0.0,49,4,11,8,0.0,18,472445.8081050382,1.0
139972.20512143258,0.0,80,4,8,1,0.0,2,17004.321135810864,0.0
150000.0,0.0,37,4,5,7,0.0,23,400244.4830078866,1.0
83132.0963368206,54096.66117254739,76,0,7,7,0.0,23,500000.0,0.0
55531.254811254184,70394.29363129978,64,3,7,3,600000.0,10,100604.95440777007,1.0
52400.58724961057,0.0,55,1,2,7,200000.0,16,500000.0,0.0
50025.27284383082,20031.393683887196,46,2,12,0,900000.0,14,0.0,1.0
35961.21070299625,16237.356268875334,70,0,18,1,0.0,9,264392.8831155089,0.0
20000.0,75000.0,36,2,14,4,0.0,26,333333.6901262823,1.0
69429.27608073363,0.0,73,1,1,2,0.0,30,0.0,0.0
93925.6317789157,0.0,35,4,2,7,0.0,12,457833.91594634135,1.0
103512.83685960843,0.0,70,4,6,4,500000.0,14,204391.26205437307,0.0
150000.0,0.0,45,2,13,8,100000.0,4,319645.0737912074,1.0
121340.94770008052,0.0,32,4,17,3,0.0,30,11402.026433817482,0.0
77055.6909516899,0.0,31,4,2,2,0.0,12,25231.272602298268,1.0
127270.87196584418,0.0,62,3,7,0,900000.0,30,31334.387156096986,0.0
125347.1911319728,0.0,50,3,14,7,0.0,9,182417.092803361,1.0
142727.7438477833,0.0,64,0,15,7,0.0,15,32194.24399095471,0.0
68117.20059510459,0.0,51,0,16,8,0.0,6,178529.95635645033,1.0
79157.53776041376,67804.82034443192,62,4,8,4,500000.0,18,254134.50707180134,0.0
87881.90644057358,0.0,38,1,6,8,100000.0,19,413122.11174215295,1.0
115155.69127506803,0.0,80,1,12,5,0.0,22,332210.05303757434,0.0
70771.48642081438,75000.0,47,3,9,4,0.0,20,32312.86668623597,1.0
103551.02339884089,0.0,65,1,8,7,0.0,23,162631.86120112345,0.0
75147.6411671474,0.0,45,2,18,6,0.0,7,324800.6342201073,1.0
48638.225046211475,47085.13011668709,39,0,6,7,200000.0,23,372266.8832807227,0.0
43396.3931160174,60571.58586972031,31,0,17,0,900000.0,10,281630.75640207017,1.0
68624.40915739996,70653.05414182293,55,2,17,2,0.0,18,500000.0,0.0
70528.16469525867,74177.65105858969,42,0,11,3,600000.0,13,75469.42967868352,1.0
88401.79275810602,0.0,28,2,5,8,0.0,10,448955.5908793016,0.0
79134.89432930334,51890.6129065833,41,1,13,0,900000.0,17,149971.12143049223,1.0
70910.9667550286,0.0,32,4,3,7,200000.0,15,377203.91334107076,0.0
126241.91556153461,0.0,53,0,12,6,0.0,18,25768.385828762366,1.0
46056.7066791516,75000.0,68,4,16,6,0.0,19,237531.55306521198,0.0
150000.0,0.0,54,0,12,7,0.0,14,378666.69215913845,1.0
80419.86349922892,10714.096908784617,27,3,1,4,500000.0,5,329603.96400789527,0.0
20000.0,14148.736042953615,56,0,17,4,0.0,25,128237.99899649221,1.0
64579.53584951127,0.0,74,4,0,5,0.0,7,361376.13111526275,0.0
38334.8248493812,66122.74492307624,64,3,0,0,900000.0,17,230781.46452214033,1.0
121536.4617299485,0.0,20,0,12,8,0.0,2,171843.20761131085,0.0
128083.5600308539,0.0,66,2,9,3,600000.0,22,41122.25471161416,1.0
150000.0,0.0,40,0,13,2,700000.0,29,454225.9283668035,0.0
50136.225106456804,33919.13279231969,59,0,17,1,0.0,30,55252.921247588325,1.0
66979.72053979068,49107.72160169821,20,4,5,1,800000.0,11,153819.02551946085,0.0
58017.26473815737,10000.0,50,3,3,1,0.0,17,173753.592047217,1.0
96210.84822969492,0.0,80,4,9,1,0.0,23,447785.6019679116,0.0
49295.37452258947,75000.0,49,2,13,0,900000.0,14,494986.97122814576,1.0
63959.466307274306,0.0,31,1,18,6,0.0,17,2905.9126864007485,0.0
144265.5707902093,0.0,39,1,9,1,800000.0,27,397428.2661836406,1.0
150000.0,0.0,80,1,18,4,500000.0,12,310350.7016610285,0.0
150000.0,0.0,59,2,2,6,300000.0,16,4845.497203522682,1.0
